----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 96, 165, 165]           2,592
       BatchNorm2d-2         [-1, 96, 165, 165]             192
              ReLU-3         [-1, 96, 165, 165]               0
            Conv2d-4         [-1, 54, 165, 165]           5,184
       BatchNorm2d-5         [-1, 54, 165, 165]             108
        ReluConvBn-6         [-1, 54, 165, 165]               0
              ReLU-7         [-1, 96, 165, 165]               0
            Conv2d-8           [-1, 96, 83, 83]           2,400
            Conv2d-9           [-1, 54, 83, 83]           5,184
  SeparableConv2d-10           [-1, 54, 83, 83]               0
      BatchNorm2d-11           [-1, 54, 83, 83]             108
             ReLU-12           [-1, 54, 83, 83]               0
           Conv2d-13           [-1, 54, 83, 83]           1,350
           Conv2d-14           [-1, 54, 83, 83]           2,916
  SeparableConv2d-15           [-1, 54, 83, 83]               0
      BatchNorm2d-16           [-1, 54, 83, 83]             108
 BranchSeparables-17           [-1, 54, 83, 83]               0
        MaxPool2d-18           [-1, 96, 83, 83]               0
          MaxPool-19           [-1, 96, 83, 83]               0
           Conv2d-20           [-1, 54, 83, 83]           5,184
      BatchNorm2d-21           [-1, 54, 83, 83]             108
             ReLU-22         [-1, 54, 165, 165]               0
           Conv2d-23           [-1, 54, 83, 83]           2,646
           Conv2d-24           [-1, 54, 83, 83]           2,916
  SeparableConv2d-25           [-1, 54, 83, 83]               0
      BatchNorm2d-26           [-1, 54, 83, 83]             108
             ReLU-27           [-1, 54, 83, 83]               0
           Conv2d-28           [-1, 54, 83, 83]           2,646
           Conv2d-29           [-1, 54, 83, 83]           2,916
  SeparableConv2d-30           [-1, 54, 83, 83]               0
      BatchNorm2d-31           [-1, 54, 83, 83]             108
 BranchSeparables-32           [-1, 54, 83, 83]               0
        MaxPool2d-33           [-1, 54, 83, 83]               0
          MaxPool-34           [-1, 54, 83, 83]               0
             ReLU-35         [-1, 54, 165, 165]               0
           Conv2d-36           [-1, 54, 83, 83]           1,350
           Conv2d-37           [-1, 54, 83, 83]           2,916
  SeparableConv2d-38           [-1, 54, 83, 83]               0
      BatchNorm2d-39           [-1, 54, 83, 83]             108
             ReLU-40           [-1, 54, 83, 83]               0
           Conv2d-41           [-1, 54, 83, 83]           1,350
           Conv2d-42           [-1, 54, 83, 83]           2,916
  SeparableConv2d-43           [-1, 54, 83, 83]               0
      BatchNorm2d-44           [-1, 54, 83, 83]             108
 BranchSeparables-45           [-1, 54, 83, 83]               0
             ReLU-46         [-1, 54, 165, 165]               0
           Conv2d-47           [-1, 54, 83, 83]             486
           Conv2d-48           [-1, 54, 83, 83]           2,916
  SeparableConv2d-49           [-1, 54, 83, 83]               0
      BatchNorm2d-50           [-1, 54, 83, 83]             108
             ReLU-51           [-1, 54, 83, 83]               0
           Conv2d-52           [-1, 54, 83, 83]             486
           Conv2d-53           [-1, 54, 83, 83]           2,916
  SeparableConv2d-54           [-1, 54, 83, 83]               0
      BatchNorm2d-55           [-1, 54, 83, 83]             108
 BranchSeparables-56           [-1, 54, 83, 83]               0
             ReLU-57           [-1, 54, 83, 83]               0
           Conv2d-58           [-1, 54, 83, 83]             486
           Conv2d-59           [-1, 54, 83, 83]           2,916
  SeparableConv2d-60           [-1, 54, 83, 83]               0
      BatchNorm2d-61           [-1, 54, 83, 83]             108
             ReLU-62           [-1, 54, 83, 83]               0
           Conv2d-63           [-1, 54, 83, 83]             486
           Conv2d-64           [-1, 54, 83, 83]           2,916
  SeparableConv2d-65           [-1, 54, 83, 83]               0
      BatchNorm2d-66           [-1, 54, 83, 83]             108
 BranchSeparables-67           [-1, 54, 83, 83]               0
        MaxPool2d-68           [-1, 54, 83, 83]               0
          MaxPool-69           [-1, 54, 83, 83]               0
             ReLU-70         [-1, 96, 165, 165]               0
           Conv2d-71           [-1, 96, 83, 83]             864
           Conv2d-72           [-1, 54, 83, 83]           5,184
  SeparableConv2d-73           [-1, 54, 83, 83]               0
      BatchNorm2d-74           [-1, 54, 83, 83]             108
             ReLU-75           [-1, 54, 83, 83]               0
